Feature,Information_Gain
kritik,0.0016841888794510238
kritis,0.00045873618032261356
krl,0.0016951210314189026
kroni,0.0006882425571326616
kronis,0.00043914015144671083
kualitas,0.0010935775156676883
kuantitas,0.0001882094419438352
kuasa,0.001379337673422393
kuat,0.0011506744098443394
kubang,0.00022932202116135838
kubik,0.00022932202116135838
kubur,0.00022932202116135838
kucil,0.00022932202116135838
kucur,8.534794684404365e-05
kuda,0.000236515881350443
kue,0.00045873618032261356
kufur,0.00043914015144671083
kuli,0.00022932202116135838
kuliah,0.0009256162934365196
kultur,0.0001882094419438352
kumoro,0.00022932202116135838
kumpul,0.0005230998135931691
kunci,7.305808757254685e-05
kunjung,0.0001882094419438352
kuno,6.688823393222231e-05
kuota,0.001054529924060253
kupas,0.00022932202116135838
kuping,0.0001882094419438352
kurang,0.00022932202116135838
kuras,0.00045873618032261356
kursi,0.00022932202116135838
kurus,0.00043914015144671083
kurva,0.00022932202116135838
kutik,0.00043914015144671083
kutip,0.0002951660771293961
kutu,0.00022932202116135838
kutuk,0.00022932202116135838
kutung,0.00022932202116135838
kwkwkwk,0.0001882094419438352
lab,0.00022932202116135838
laba,0.00043914015144671083
label,0.00022932202116135838
labu,0.00037648743362983083
lada,0.00043914015144671083
ladang,0.00022932202116135838
lagie,0.0001882094419438352
lagipula,4.82841793296039e-05
lahan,0.0005633184115145129
lahir,3.401335320850178e-05
laik,0.00043914015144671083
laju,0.00029944811560737254
language,0.0001882094419438352
lanjur,6.688823393222231e-05
lanjuttt,0.00022932202116135838
lanskap,0.0001882094419438352
lantar,0.00045873618032261356
lantas,0.00033627865634686376
lap,0.0001882094419438352
lapang,0.001080768087428633
lapar,0.0006684047610713223
lapis,0.00043914015144671083
lapor,0.00022932202116135838
laptop,0.00037648743362983126
larang,0.0010924090780871911
lari,0.0003373864365266773
laris,0.0004721888501390027
laskar,0.0001882094419438352
lastly,0.0001882094419438352
latah,6.688823393222231e-05
